Task,Phase,Category,Priority,Target Date,Status,Notes
Connect with Alexandra Thomaidou (Smart Umbrella) before arrival,Erasmus Preparation,Networking,High,Before June 2026,To Do,"Ask about healthcare business connections in Thessaloniki. Email: info@smartumbrella.eu"
Email ΚΕΡΑΜΙΔΑ host firm — ask if they have healthcare/clinic clients,Erasmus Preparation,Networking,High,Before June 2026,To Do,"kerkir29@otenet.gr | +30 2310 651 167. Ask about accountant clients in healthcare sector."
Print and pack the Observer Certificate,Erasmus Preparation,Documents,High,Before June 2026,To Do,"Print PILOT-OBSERVER-CERTIFICATE.html from browser. Bring physical copy to Thessaloniki."
Print NDA for EIMC meeting,Erasmus Preparation,Documents,Medium,Before June 2026,To Do,"Print NDA-EIMC-GREECE.html — bring to any EIMC meeting."
Prepare one-page research brief in Greek,Erasmus Preparation,Documents,High,Before June 2026,To Do,"Explain PhD topic in Greek. Use as introduction document for hospital visits."
Research EIMC Oncology Symposium dates,Erasmus Preparation,Research,Medium,Before June 2026,To Do,"Aim to attend during Erasmus period. Check EIMC website for events."
Practice the demo alone (run python healthledgerai_demo.py),Erasmus Preparation,Prototype,High,Before June 2026,Done,"Script works. 70 alerts on 506 invoices. Both files in HealthLedgerAI folder on Desktop."
Demo prototype with Michalis (accounting firm host),Erasmus — Thessaloniki,Prototype Validation,High,June–July 2026,To Do,"Run demo → show Excel report → get Observer Certificate signed. He is a professional accountant — his signature = independent accounting validation."
Ask Michalis to write 2 sentences in Greek on the certificate,Erasmus — Thessaloniki,Prototype Validation,High,June–July 2026,To Do,"Handwritten accountant note is the strongest possible evidence for EIC reviewers."
Ask host firm about healthcare sector clients — request warm introduction,Erasmus — Thessaloniki,Networking,High,June 2026,To Do,"If they have clinic or hospital clients, ask for an introduction as a researcher."
Contact Alexandra Thomaidou on arrival — request Thessaloniki healthcare introductions,Erasmus — Thessaloniki,Networking,High,June 2026,To Do,"Smart Umbrella network = potential warm introductions to EIMC or other healthcare contacts."
Approach EIMC accounting department — research visit framing,Erasmus — Thessaloniki,Hospital Validation,High,June–July 2026,To Do,"Frame as: PhD researcher + working with local accounting firm + studying cooperation agreements. NOT a sales call."
Get at least one person at EIMC to review the demo output,Erasmus — Thessaloniki,Hospital Validation,High,June–July 2026,To Do,"Even informal feedback from an accounting staff member = market validation evidence."
Record a 3-4 minute demo video (Loom or screen recording),Erasmus — Thessaloniki,Prototype,High,June–July 2026,To Do,"Show: run script → alerts appear → open Excel report → explain one finding. This is the EIC demo video."
Register a company in Cyprus (Ltd),Company Registration,Legal,Critical,Before Nov 2027,To Do,"CRITICAL for EIC Pre-Accelerator eligibility. Must be registered in a widening country (Cyprus ✅ or Greece ✅). Germany ❌ does not qualify. Cost: ~€1,000–2,000. Use a Cyprus incorporation agent."
Open a Cyprus business bank account,Company Registration,Legal,High,After registration,To Do,"Required for EIC grant disbursement. Major Cyprus banks: Bank of Cyprus, Hellenic Bank."
Register for Cyprus VAT (if required),Company Registration,Legal,Medium,After registration,To Do,"Check threshold with Cyprus accountant."
Wait for EIT Jumpstarter 2026 feedback,Funding,Grant Applications,High,July 2026,Waiting,"Applied May 2026. Feedback expected July 2026. Use feedback to strengthen EIC application."
Apply feedback from EIT Jumpstarter to EIC application,Funding,Grant Applications,High,August–October 2026,To Do,"Whatever EIT reviewers flag — fix it before EIC submission."
Apply for Studienstiftung des deutschen Volkes doctoral scholarship,Funding,Scholarships,High,Check deadline,To Do,"Already mentioned in EIT application as applied. Follow up on status."
Apply for Konrad Adenauer Stiftung scholarship,Funding,Scholarships,High,Check deadline,To Do,"Already mentioned in EIT application as applied. Follow up on status."
Begin PhD structured reading programme with Prof. Kythreotis,PhD Track,Academic,High,June 2026,To Do,"~200 papers in AI + healthcare accounting + financial compliance. Builds literature foundation."
October 2026 visit to Nicosia — meetings with Prof. Kythreotis at EUC,PhD Track,Academic,High,October 2026,To Do,"Pre-PhD preparation phase. Preliminary contact with AMC as pre-PhD researcher."
Attempt access to AMC accounting department (Nicosia visit),PhD Track,Hospital Validation,High,October 2026,To Do,"Frame as pre-PhD researcher. Bring NDA-AMC-CYPRUS.html printed. Contact: Constantinos Michaelides (GM)."
Upgrade prototype from Excel/Python to web interface (Streamlit),Prototype Development,Technical,High,Before Nov 2027,To Do,"pip install streamlit — converts Python script into a browser-based demo. Much more impressive for EIC."
